customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2599-VHRRG,Female,1,No,Yes,6,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,127.49,835.7,No
9855-OARJZ,Male,1,No,No,44,Yes,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Mailed check,102.84,4377.38,No
9591-MYAYP,Female,1,No,No,11,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,97.92,1085.77,No
4104-QGHVC,Male,1,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,112.74,2394.11,No
1274-EEYYJ,Male,1,No,No,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.08,507.32,No
4348-TJOFI,Female,0,No,No,31,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,80.7,2386.3,No
2054-ODANE,Female,1,No,No,43,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),16.28,713.02,No
6165-QYJPU,Female,1,Yes,No,3,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),101.26,333.87,Yes
1493-ZSCZO,Female,0,No,Yes,11,No,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),83.52,925.0,No
8601-YOWVZ,Male,0,Yes,Yes,14,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),15.54,214.93,No
4499-GNWAE,Female,1,Yes,No,10,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,122.89,1131.11,No
2973-SMWHO,Female,1,No,Yes,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.91,137.16,No
2219-EAHIL,Female,0,Yes,Yes,51,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,120.59,6076.33,No
2519-BVZML,Male,0,No,Yes,33,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,15.59,511.17,No
4835-WROEG,Female,0,No,Yes,31,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.38,565.67,No
3382-IJWGF,Male,1,Yes,No,35,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,No,Electronic check,97.61,3472.18,No
8825-FEAAL,Female,1,No,Yes,11,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),78.86,840.56,No
7525-KQIXS,Male,1,No,No,57,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Mailed check,103.0,5655.96,No
2394-UVXPL,Male,0,Yes,Yes,64,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,82.85,4894.46,No
2509-WHVQD,Female,0,Yes,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.61,962.88,No
9716-NEAPV,Male,1,Yes,Yes,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),30.53,1865.72,No
1412-VWJVX,Male,0,Yes,No,19,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,87.09,1608.53,No
2298-NTZWN,Female,1,Yes,Yes,36,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.52,603.1,No
3142-NUDBU,Female,0,Yes,No,52,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),78.82,4070.84,No
1533-VVICR,Male,1,Yes,No,28,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Mailed check,90.99,2490.86,No
6229-NSIRI,Male,1,No,No,8,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,107.37,778.34,No
8083-MNROS,Female,1,Yes,No,17,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),78.89,1291.92,No
1885-IDKIO,Male,1,Yes,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,27.87,943.14,No
4844-AAAXC,Male,0,No,No,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,16.34,895.22,No
4331-CPNAS,Female,0,No,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.26,576.26,Yes
8926-XPLUZ,Male,0,Yes,Yes,47,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.38,1144.62,No
5667-KKWOS,Male,1,No,Yes,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,22.8,657.74,Yes
3675-WNVWP,Female,1,No,No,54,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.24,1165.78,Yes
9534-LDKCN,Female,0,No,Yes,33,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),83.53,2584.64,No
4249-KZNBK,Female,0,Yes,No,10,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,22.14,224.5,No
8692-ZLGBW,Male,1,No,No,48,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,23.41,1116.86,No
8449-QTKBC,Male,0,No,No,16,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),87.7,1515.14,No
6253-RYPQS,Male,1,Yes,No,70,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,81.4,5306.3,No
9087-GOQDT,Male,0,No,No,62,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),85.74,4950.66,No
1189-YTACU,Male,1,No,No,44,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,82.31,3864.33,No
9051-LQSIX,Male,1,No,Yes,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,15.44,349.08,No
7381-AQHNM,Female,1,No,No,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,17.65,599.73,No
7292-TGBDA,Female,1,No,Yes,28,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),80.74,2289.56,No
7054-RMLRM,Female,1,No,Yes,5,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),106.22,511.04,No
6156-SYYGG,Male,0,Yes,Yes,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.38,1232.38,No
3998-XOFLX,Male,1,Yes,No,59,No,No phone service,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),68.09,4178.49,No
8139-UMLNS,Male,0,No,Yes,31,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,48.41,1593.97,Yes
9249-QJAGQ,Male,1,No,Yes,36,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),92.2,3572.05,No
1729-KZNCQ,Female,1,Yes,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),26.05,1421.63,No
6877-LRRGW,Female,0,No,Yes,39,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),101.37,3727.81,No
8004-QJBRW,Female,1,Yes,No,21,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),101.21,1942.29,Yes
2993-TQMNV,Female,0,No,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),34.64,1757.73,No
8750-OCGXA,Male,0,No,Yes,18,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,16.43,310.35,No
1518-DLNYV,Female,1,Yes,No,35,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.04,2846.8,No
9442-WDQMK,Female,1,No,No,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.37,748.19,No
2304-AMSGB,Male,1,Yes,No,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,17.0,671.79,No
3598-SGDGC,Male,1,Yes,No,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.98,447.22,No
3016-MTCFQ,Male,1,Yes,No,46,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),87.12,4197.54,No
7690-XKOKF,Male,0,Yes,Yes,13,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,114.11,1519.34,No
2554-KEPEI,Female,1,Yes,No,12,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,121.39,1367.05,No
8753-SCXUM,Female,0,Yes,No,10,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),91.14,876.36,No
4641-RXUPQ,Female,0,Yes,No,48,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),98.33,5175.54,No
5700-CPCWM,Male,0,Yes,Yes,55,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.66,1264.35,No
6297-WYPHG,Male,0,No,No,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),16.78,617.77,Yes
1276-GNJFP,Male,1,No,Yes,46,No,No phone service,DSL,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),70.2,3232.33,Yes
8342-IONOS,Female,1,No,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),31.34,2029.06,No
7107-UBRBL,Male,0,Yes,Yes,35,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,81.2,2660.98,No
4006-JZWOI,Male,0,No,Yes,41,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.35,833.59,No
2311-CGGDS,Female,1,Yes,Yes,65,No,No phone service,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,66.88,4381.72,No
2727-MSDGP,Female,0,Yes,Yes,65,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),88.12,5197.41,No
1071-XEKLG,Female,1,Yes,No,22,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,100.59,2146.22,No
7682-NNMSF,Female,1,No,Yes,38,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),120.1,4610.47,No
5262-BNSWV,Female,1,No,No,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),17.85,38.1,Yes
5503-MWUVI,Female,1,No,No,57,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),103.57,5582.39,No
6990-ONTYT,Female,0,Yes,No,39,No,No phone service,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),50.62,1811.33,No
6492-NRJQV,Female,1,Yes,No,35,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),93.66,3559.56,No
7978-BSHAU,Male,1,No,Yes,21,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),87.27,1693.14,No
3940-SYFQR,Female,0,Yes,Yes,22,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),89.24,2134.95,No
1801-QVBTW,Female,1,No,Yes,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,26.13,1738.13,No
6545-KLKKR,Female,1,Yes,No,6,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,120.3,771.81,No
4387-HAFRC,Male,1,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.83,1174.39,No
9218-ROFVM,Male,1,Yes,Yes,65,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Mailed check,98.05,5796.1,No
7698-YGZAJ,Male,0,No,Yes,66,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),76.75,4935.09,Yes
6340-ICWQB,Male,0,Yes,Yes,9,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,23.92,210.51,No
6223-IYQZE,Female,1,No,No,34,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),112.99,3518.61,No
4332-MOLZV,Male,1,No,Yes,70,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),16.08,1088.73,Yes
4009-UUEUO,Female,1,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),31.4,2222.03,No
5003-OBBYD,Male,1,Yes,Yes,68,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),80.85,5833.55,Yes
4078-RRHZJ,Male,0,Yes,Yes,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.85,1915.0,Yes
8674-KCDLY,Male,1,No,No,10,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),65.93,639.26,No
4462-UYECF,Female,0,Yes,No,67,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,15.6,1131.35,Yes
2452-QRAPK,Male,1,No,Yes,65,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),100.54,6509.17,No
8018-WJNQC,Male,1,Yes,Yes,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.74,1263.61,Yes
8279-DVBBB,Male,0,No,No,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,19.89,551.59,No
4575-JACOO,Female,1,No,Yes,3,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,108.29,347.16,No
7965-XOSZC,Male,1,Yes,No,23,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Mailed check,63.99,1387.06,Yes
5936-BHLGE,Female,0,Yes,Yes,20,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,114.04,2498.48,No
3073-NRFBM,Male,0,No,Yes,41,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,97.82,3962.14,No
1643-PFJJA,Male,0,Yes,No,66,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.02,1198.16,No
6578-UFLVC,Male,0,No,No,65,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),96.78,6402.57,No
8972-DXLNP,Female,1,No,Yes,10,Yes,No phone service,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,78.71,763.55,No
4746-WDDED,Male,0,No,No,14,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),45.23,596.1,No
1372-ULGPF,Female,1,No,No,51,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),93.73,4685.03,No
7487-QVRKU,Male,0,Yes,No,5,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Mailed check,99.76,486.16,No
3141-ERKGM,Male,1,No,No,37,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),71.25,2443.31,No
9556-IBAIW,Male,0,Yes,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,17.56,952.51,No
1310-GFFHU,Male,0,Yes,Yes,67,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.39,1530.28,No
8093-OVXYB,Male,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),89.21,1539.15,No
9863-DVOYP,Female,0,No,Yes,71,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.18,1549.25,No
1328-RMKZG,Female,0,No,Yes,36,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),88.84,3242.1,Yes
9633-AILRR,Female,0,Yes,Yes,52,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,77.61,3800.6,No
2033-GBHPY,Male,1,Yes,Yes,51,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,97.9,4890.86,No
9846-WAIYA,Female,1,Yes,Yes,8,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.28,170.01,Yes
8231-HMGBK,Female,0,No,Yes,9,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),84.97,810.09,No
5855-AJIMG,Male,1,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.48,424.49,No
8916-DZDIB,Female,1,Yes,No,26,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,105.07,2684.62,No
4776-XOAXH,Female,1,Yes,Yes,66,Yes,No phone service,DSL,Yes,No,No,No,Yes,No,Two year,No,Mailed check,70.44,4716.03,No
9369-IUPYG,Male,1,Yes,Yes,13,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),79.4,1086.57,No
7475-DAKXF,Female,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),33.33,760.51,No
7404-AEPJZ,Male,1,Yes,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.12,182.15,No
4764-ABAQS,Female,1,No,Yes,24,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),100.21,2392.67,No
5342-NXVBU,Male,0,Yes,No,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),17.54,716.92,No
4595-JOVFJ,Female,0,Yes,Yes,46,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),76.55,3677.75,No
9388-VYKPW,Female,1,Yes,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.17,1141.37,No
4207-NHPFW,Female,0,Yes,Yes,59,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Electronic check,89.81,5033.38,No
3800-CSPTW,Male,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.53,1364.89,No
1041-PNREM,Male,1,Yes,No,43,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,111.16,4327.37,No
6655-NWISG,Female,1,No,Yes,20,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,88.72,1928.94,No
